geoid,incomeclass,type,own,hh,mwh,hh_med_income,hh_gini_index,hu_rnt,hu_blt2010,pop_total,lihtc_qualified
53033022006,verylow,mf,own,4,26.354293100000003,81056,0.4264,0.6159678858162355,0.032114183764495985,3744,False
53033022102,verylow,mf,own,6,42.4172445,96863,0.3487,0.38661417322834646,0.01811023622047244,6331,False
53033022201,verylow,mf,own,6,76.8686483,78409,0.3761,0.5552447552447553,0,4483,False
53033022202,verylow,mf,own,8,82.7638303,82009,0.3724,0.6866923600090682,0.0034005894355021537,7814,False
53033022500,verylow,mf,own,12,142.53604810000004,100584,0.4695,0.5736568457538995,0.02574894775934637,7290,False
53033022603,verylow,mf,own,4,84.16860970000002,104382,0.4737,0.6440831074977417,0.02408912978018669,5627,False
53033022604,verylow,mf,own,5,40.987075399999995,94222,0.3925,0.5914362176628011,0.015165031222123104,4532,False
53033022605,verylow,mf,own,7,69.0288063,68636,0.4177,0.8417515716453501,0,6162,False
53033022801,verylow,mf,own,12,83.54194380000001,88160,0.5127,0.8611336689946403,0.0022738346597368847,8374,False
53033022802,verylow,mf,own,5,56.87349450000001,101184,0.4008,0.5835764902042517,0.010421008753647354,4772,False
53033022803,verylow,mf,own,5,79.1021241,96908,0.4582,0.8918392204628501,0.008282582216808769,5362,False
53033022902,verylow,mf,own,5,75.5506182,120731,0.4217,0.5595989602673598,0.004827330115113257,6492,False
53033023000,verylow,mf,own,3,28.805492200000003,104013,0.4294,0.32489699823425544,0,5000,False
53033023100,verylow,mf,own,2,39.5044679,92283,0.4586,0.57313602731929425,0.004553215708594195,4032,False
53033023300,verylow,mf,own,4,116.9849448,76500,0.482,0.6044982698961938,0,6306,False
53033029502,verylow,mf,own,5,85.46012850000002,76295,0.3629,0.5861130020422056,0.04084411164057182,6895,False
53033023401,verylow,mf,own,5,66.7834494,71269,0.425,0.6827111984282908,0.003929273084479371,3550,False
53033023403,verylow,mf,own,2,32.7517545,93387,0.4615,0.5265926358854471,0.02571595558153127,4173,False
53033023404,verylow,mf,own,1,14.8083589,146875,0.3628,0.37670068027210885,0.02976190476190476,3308,False
53033023500,verylow,mf,own,4,30.2605265,110568,0.4215,0.5017421602787456,0.006968641114982578,3672,False
53033023601,verylow,mf,own,9,124.0814193,78155,0.452,0.7463592233009708,0.008090614886731391,3854,False
53033023603,verylow,mf,own,9,123.27765430000001,87236,0.4331,0.8975462763667671,0.009470512268618166,6278,False
53033023604,verylow,mf,own,11,227.2260975,72383,0.4584,0.8522700541049165,0.013173370971536109,6241,False
53033030005,verylow,mf,own,5,76.6794695,48942,0.3746,0.753082071151814,0,5315,False
53033023700,verylow,mf,own,3,50.2502953,96268,0.478,0.6278162911611785,0,4204,False
53033023801,verylow,mf,own,0,56.7803237,97674,0.4679,0.7166666666666667,0.03840579710144928,2232,False
53033024000,verylow,mf,own,9,76.02550959999998,107479,0.5097,0.7262059973924381,0.013906996957844416,7880,False
53033024200,verylow,mf,own,0,29.0735059,175625,0.5325,0.3501762632197415,0.01410105757931845,3115,False
53033024300,verylow,mf,own,12,76.1573626,103178,0.5074,0.6701607267645003,0.019333799208013043,8164,False
53033030006,verylow,mf,own,15,128.1510829,27635,0.4958,0.9493860437256664,0.018867924528301886,3884,True
53033024400,verylow,mf,own,4,51.30393149999999,69583,0.4926,0.861193148257531,0.01004134672179563,2611,False
53033024500,verylow,mf,own,2,6.5014615,167361,0.5001,0.39709051724137934,0.004849137931034483,5003,False
53033024601,verylow,mf,own,2,20.2887354,175132,0.4511,0.16652286453839515,0.010353753235547885,4588,False
53033024602,verylow,mf,own,0,14.7556856,195156,0.4176,0.11361310133060389,0.01023541453428864,3754,False
53033024701,verylow,mf,own,6,49.676691600000005,83712,0.3986,0.649178590355061,0.014308426073131956,3866,False
53033024800,verylow,mf,own,4,55.1819845,68042,0.4031,0.7665223665223665,0,5666,False
53033024901,verylow,mf,own,5,42.130615999999996,135625,0.4278,0.24750499001996007,0,5063,False
53033024902,verylow,mf,own,2,20.6286374,102616,0.4192,0.4620550705171256,0,3769,False
53033024903,verylow,mf,own,4,92.296965,152458,0.4226,0.333654309099663,0,6980,False
53033025003,verylow,mf,own,1,15.002369400000001,126089,0.4634,0.5801477674269194,0.024734982332155476,6979,False
53033025005,verylow,mf,own,2,75.41121810000001,103229,0.4658,0.46510468594217347,0.03938185443668993,4696,False
53033025101,verylow,mf,own,5,98.0928217,81676,0.4407,0.5636783378222393,0.05040400153905348,5584,False
53033025102,verylow,mf,own,7,117.74889360000002,104469,0.3534,0.5554072096128171,0.045660881174899866,7729,False
53033025200,verylow,mf,own,12,139.23584990000003,75109,0.4595,0.666892196662156,0.014884979702300407,8098,False
53033025301,verylow,mf,own,9,128.52227079999997,77278,0.3979,0.8156164383561644,0.08356164383561644,5691,False
53033025302,verylow,mf,own,15,244.5472517,34471,0.5071,0.9569142388182191,0.028313500205170292,5263,True
53033025400,verylow,mf,own,15,239.2057004,47773,0.3926,0.8885670471971375,0.0074970182313852446,7245,False
53033025601,verylow,mf,own,4,54.9396464,60833,0.3986,0.672463768115942,0.015579710144927537,5113,False
53033025602,verylow,mf,own,1,14.090637599999999,105446,0.3151,0.22510162601626016,0.07621951219512195,6470,False
53033025701,verylow,mf,own,14,152.51771580000005,47219,0.4157,0.8023980815347722,0,5387,False
53033025702,verylow,mf,own,2,44.7704055,85758,0.3631,0.6296060991105463,0,3593,False
