Class,CompletedDate,Latitude,Longitude,Installer
Single family,2015-07-06,47.70416388,-122.30758015,UPRIGHT ELECTRICAL SERVICES
Single family,2014-06-26,47.56575796,-122.28153028,ARTISAN ELECTRIC INC
Single family,2014-10-14,47.67513595,-122.35815372,PUGETSOUNDSOLAR
Single family,2015-05-11,47.54606622,-122.26149963,PUGETSOUNDSOLAR
Single family,2018-02-14,47.68714012,-122.38464292,AUTOMATED EQUIPMENT COMPANY
Single family,2008-12-29,47.62725549,-122.31710407,"HECCO ELECTRIC, LLC"
Single family,2018-03-27,47.67886589,-122.37224796,PUGETSOUNDSOLAR
Single family,2017-03-16,47.55555698,-122.39989376,PUGETSOUNDSOLAR
Single family,2014-02-24,47.5640134,-122.29209149,PUGETSOUNDSOLAR
Single family,2014-06-09,47.6299188,-122.30566623,PUGETSOUNDSOLAR
Single family,2015-06-18,47.67467002,-122.306821,PUGETSOUNDSOLAR
Single family,2016-02-25,47.54734425,-122.39280815,NA
Single family,2018-01-31,47.52547731,-122.35095959,WEST SEATTLE ELECTRIC AND SOLA
Single family,2009-08-24,47.54168567,-122.37817688,ARTISAN ELECTRICAL SERVS LLC
Single family,2014-11-14,47.55712692,-122.39252582,ARTISAN ELECTRIC INC
Single family,2012-08-07,47.51487525,-122.3798957,ARTISAN ELECTRIC INC
Single family,2017-04-24,47.66731212,-122.35952395,UPRIGHT ELECTRICAL SERVICES
Single family,2014-12-23,47.52795861,-122.37428059,ARTISAN ELECTRIC INC
Single family,2017-07-27,47.65435884,-122.27973844,PUGETSOUNDSOLAR
Single family,2012-08-30,47.54171966,-122.31997619,PUGETSOUNDSOLAR
Single family,2013-08-22,47.61365566,-122.28528421,JMS ELECTRIC LLC
Single family,2013-05-10,47.55881164,-122.29059433,PUGETSOUNDSOLAR
Single family,2013-12-02,47.56967958,-122.31651554,PUGETSOUNDSOLAR
Single family,2014-03-07,47.56413077,-122.29212643,PUGETSOUNDSOLAR
Single family,2017-08-17,47.66405158,-122.28732049,PUGETSOUNDSOLAR
Single family,2016-10-21,47.50671376,-122.38176183,WEST SEATTLE ELECTRIC & SOLAR
Single family,2012-06-13,47.56823195,-122.37978041,ARTISAN ELECTRIC INC
Single family,2010-06-10,47.62785846,-122.31946625,PUGETSOUNDSOLAR
Single family,2014-06-19,47.63882948,-122.30028189,ARTISAN ELECTRIC INC
Single family,2013-01-24,47.60937758,-122.31230073,PUGETSOUNDSOLAR
Single family,2013-06-14,47.57985861,-122.28784681,WEST SEATTLE ELECTRIC & SOLAR
Single family,2014-02-03,47.62250312,-122.30213786,PUGETSOUNDSOLAR
Single family,2011-11-22,47.69400796,-122.28871292,EARL CHILDS
Single family,2018-04-11,47.63385408,-122.3528371,PRO-STAT ELECTRIC
Single family,2011-12-23,47.65504635,-122.33293052,PUGETSOUNDSOLAR
Single family,2016-06-07,47.63478652,-122.28486187,PUGETSOUNDSOLAR
Single family,2015-06-19,47.62087318,-122.29577699,NICK'S ELECTRIC LLC
Single family,2016-05-04,47.56127513,-122.38862087,PUGETSOUNDSOLAR
Single family,2017-09-21,47.67045203,-122.29594458,SOLTERRA GLOBAL LLC
Single family,2013-03-27,47.56713142,-122.37285296,WEST SEATTLE ELECTRIC & SOLAR
Single family,2015-12-02,47.57779133,-122.39915025,PUGETSOUNDSOLAR
Single family,2014-11-03,47.64010846,-122.32206171,A&R SOLAR
Single family,2014-08-12,47.69074822,-122.29390537,PUGETSOUNDSOLAR
Single family,2018-01-17,47.56726649,-122.38970822,WEST SEATTLE ELECTRIC & SOLAR
Single family,2015-03-17,47.72155182,-122.37206948,PUGETSOUNDSOLAR
Single family,2014-08-26,47.64229631,-122.30061563,ARTISAN ELECTRIC INC
Single family,2013-04-09,47.65720252,-122.33715657,PUGETSOUNDSOLAR
Single family,2015-03-11,47.67766642,-122.3607279,EARL CHILDS
Single family,2016-07-19,47.57189489,-122.40316757,PUGETSOUNDSOLAR
Single family,2013-09-19,47.68824832,-122.34020459,PUGETSOUNDSOLAR
Single family,2015-04-01,47.57454798,-122.38703399,PUGETSOUNDSOLAR
Multifamily,2014-04-11,47.59571188,-122.30985733,PUGETSOUNDSOLAR
Single family,2015-08-06,47.59138182,-122.29369372,PUGETSOUNDSOLAR
Single family,2014-01-29,47.57296197,-122.30760489,PUGETSOUNDSOLAR
Single family,2006-08-16,47.68512177,-122.39009368,NA
Single family,2012-08-01,47.65882373,-122.36044343,GALAXY ELECTRIC & SOLAR LLC
Single family,2014-06-16,47.56137942,-122.27908018,PUGETSOUNDSOLAR
Single family,2011-07-14,47.67887125,-122.3995585,A&R SOLAR
Single family,2007-09-22,47.73210988,-122.3382158,AL'S QUALITY ELECTRIC
Single family,2015-11-24,47.72129113,-122.3639118,NORTHWEST ELECTRIC & SOLAR LLC
Single family,2015-12-22,47.66634425,-122.33787022,PRO-STAT ELECTRIC
Single family,2009-02-06,47.574657,-122.38429007,PUGETSOUNDSOLAR
Single family,2009-09-22,47.51298692,-122.39469909,PUGETSOUNDSOLAR
Single family,2014-12-18,47.54985693,-122.39147679,ARTISAN ELECTRIC INC
Single family,2015-09-02,47.7071976,-122.37741043,PINNACLE ROOFING PROFESS LLC
Single family,2013-06-21,47.71493247,-122.33321211,WEST SEATTLE ELECTRIC & SOLAR
Single family,2016-06-28,47.58209811,-122.37347404,WEST SEATTLE ELECTRIC & SOLAR
Single family,2015-12-10,47.55466442,-122.3164056,WEST SEATTLE ELECTRIC & SOLAR
Single family,2014-07-07,47.68237301,-122.28540274,EARL CHILDS
Single family,2003-07-11,47.63762408,-122.31448493,SPIRE ELECTRICAL SERVICES
Single family,2014-01-17,47.63851121,-122.30909327,ARTISAN ELECTRIC INC
Single family,2014-05-05,47.59224143,-122.30582787,PUGETSOUNDSOLAR
Single family,2018-01-16,47.70649468,-122.31295046,PUGETSOUNDSOLAR
Single family,2013-12-05,47.66648695,-122.4074497,ARTISAN ELECTRIC INC
Single family,2016-04-27,47.55970825,-122.28881973,ALT ELECTRIC LLC
Single family,2012-03-29,47.57474529,-122.41241894,AS YOU WISH ELECTRIC
Single family,2014-12-26,47.51531056,-122.26290766,WEST SEATTLE ELECTRIC & SOLAR
Single family,2017-12-04,47.5791993,-122.37616108,NORTHWEST ELECTRIC & SOLAR LLC
Single family,2017-03-15,47.67361657,-122.30356587,PUGETSOUNDSOLAR
Single family,2014-12-04,47.64007807,-122.28166847,A&R SOLAR
Single family,2015-10-27,47.68002104,-122.27400849,PUGETSOUNDSOLAR
Single family,2010-12-21,47.59757604,-122.2941947,PUGETSOUNDSOLAR
Single family,2014-04-30,47.6230311,-122.30391809,ARTISAN ELECTRIC INC
Single family,2014-08-25,47.70233077,-122.35035444,A&R SOLAR
