PERMIT YEAR,Class,PROJECT DESCRIPTION,FINALED DATE,CONTRACTOR,TOTAL PAID,SUBAREA,NEIGHBORHOOD AREA,Lat,Lon
2018,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2018-12-06,SEAHURST ELECTRIC INC,115,Newcastle,Cougar Mountain / Lakemont,47.544505,-122.139222
2011,Single family,A Single-Family Alteration project installing { Added or Altered Branch Circuits }  - EV Car Charger Install,2011-04-20,PRIME ELECTRIC INC,98,Newcastle,Cougar Mountain / Lakemont,47.554099,-122.130344
2016,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2016-09-30,ELECTRI-CITY INC,110,Northeast Bellevue,Northeast Bellevue,47.645379,-122.113389
2013,Single family,A Single Family Residential Alteration to Existing Structure Project Involving (1 Vehicle Charging Station),2013-08-07,ACTIVE ENGINEERING,105,Wilburton/ne 8th St,Wilburton,47.61289,-122.176531
2013,Single family,A Single Family Residential Alteration to Existing Structure Project Installing {1 Vehicle Charging Station},2013-02-01,PUGET SOUND SOLAR LLC,105,Factoria,Newport,47.548009,-122.196549
2015,Single family,"A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station), Carport, N/A, Installing new electric car charger outlet in existing carport",2015-08-21,PROTECTION & COMMUNICATNS INC,108,North Bellevue,Northwest Bellevue,47.623274,-122.197076
2013,Single family,"A Single Family Residential Alteration to Existing Structure Project Installing {1 Vehicle Charging Station}, in garage",2013-02-06,PUGET SOUND SOLAR LLC JEREMY JAMES SMITHSON,105,Bridle Trails,Bridle Trails,47.642086,-122.170885
2010,Single family,A Single-Family Alteration project installing { Added or Altered Branch Circuits }  - install electric vehicle charging dock,2010-11-15,POINTER ELECTRIC INC,59,Newcastle,Cougar Mountain / Lakemont,47.548459,-122.102644
2017,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2017-12-13,SEATOWN ELECTRIC CORP,112,North Bellevue,Northwest Bellevue,47.63562,-122.207585
2015,Single family,A Single Family Residential Repair or Replacement Electrical Project Involving (1 Vehicle Charging Station),2015-06-17,NORTHWEST ELECTRIC & SOLAR,108,Southwest Bellevue,West Bellevue,47.594873,-122.207282
2013,Single family,"A Single Family Residential Alteration to Existing Structure Project Installing {1 Vehicle Charging Station}, EVSE is located in the N. Garage on the back wall.",2014-03-12,LADY ELECTRIC LLC,105,Newcastle,Cougar Mountain / Lakemont,47.543099,-122.115588
2011,Single family,"A Single Family Residential Alteration to Existing Structure Project Installing {1 Vehicle Charging Station}, garage, EVSE located in garage",2011-12-30,PUGET SOUND SOLAR LLC JEREMY JAMES SMITHSON,98,Northeast Bellevue,Northeast Bellevue,47.639487,-122.115743
2015,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2015-02-10,BERLIN ELECTRIC LLC,108,Wilburton/ne 8th St,Lake Hills,47.612072,-122.152158
2012,Single family,"A Single Family Residential Alteration to Existing Structure Project Installing {1 Vehicle Charging Station}, GARAGE",2012-08-09,HOLMES ELECTRIC CO,102,Newport Hills,Newport,47.548948,-122.170146
